avg_rating,quest_name,type,length,description_num,description_text,game
2.0,The Firewine Ruins,kill,short,1,"Greetings! I am Gandolar Luckyfoot, the Mayor of Gullykin.\nI have heard that there has been some trouble with kobold activity in the area. I would ask you to do something about it.\nWe need to get rid of these creatures before they spread and destroy our town. We know where they live - Firewine ruins. They're always causing problems.\nIf you could find them, bring me back a gift.",BG
1.789473684,The Firewine Ruins,kill,short,2,"Greetings! I am Gandolar Luckyfoot, the jolly mayor of Gullykin.\nI would ask you to do something for me. I need your help.\nA group of people has been disappearing off the face of the earth lately. They've disappeared into the depths of the Firewine ruins.\nWe're not sure what they were doing there, but we know that they weren't here when it happened. We'd like to find out if anyone else was involved.\nIf you could track down any kobold activity in the area, then you'll get your reward. You'll also learn more about the nature of the kobolds.",BG
1.8125,The Firewine Ruins,kill,short,3,"Greetings! I am Gandolar Luckyfoot, Mayor of Gullykin.\nI've been asked by my people to bring you some good news.\nA group of kobold thieves has taken over the Firewine ruins and killed most of our people. They even took over the local taverns. We need to get rid of them before they do more damage.\nWe're going to send out scouts to search the surrounding area for any survivors. If we don't find anyone, then we'll burn down the entire town.",BG
3.222222222,The Firewine Ruins,kill,short,4,"I'm Gandolar Luckyfoot, and I'm the mayor of Gullykin!\nThere has been some terrible kobold activity here in Gullykin. It seems that they've taken over the Firewine ruins.\nWe need to get rid of them before they take over everything else. We'll give you a reward if you do it.",BG
3.0,The Firewine Ruins,kill,short,5,"Greetings! I am Gandolar Luckyfoot, the jolly mayor of Gullykin.\nI've heard that there has been a rash of attacks on our people by goblins. It seems they're trying to take over the Firewine ruins.\nWe need you to help us stop them. If we don't, it'll only get worse.\nFind out what happened and report back here when you do.",BG
2.785714286,The Firewine Ruins,kill,short,6,"Greetings! I am Gandolar Luckyfoot, Mayor of Gullykin.\nI'm glad you're here, because we need your help with something very important. We've been having trouble dealing with kobold attacks on our people and crops.\nWe know that there are more than one group of kobolds attacking us, but they don't seem to be able to get through our defenses. If we could somehow take out these kobolds, it would make things much easier for everyone.\nIf you could go down into the Firewine ruins and kill some kobolds, that would do wonders for us.",BG
2.222222222,The Firewine Ruins,kill,short,7,"Greetings! I am Gandolar Luckyfoot, Mayor of Gullykin.\nI have heard that there has been a problem with kobold activity in our town. It seems that they've taken over the Firewine ruins and killed many people. We need to get rid of them.\nWe'll send out some men to clear the area of these monsters. But we must also do something about their dead bodies. They're all over the place.\nIf you could help us, you'd be doing yourself a great service.",BG
2.55,The Firewine Ruins,kill,short,8,"Greetings! I am Gandolar Luckyfoot, Mayor of Gullykin.\nI'm glad you're here. It seems that there has been some trouble with the kobold problem.\nWe've had reports of them attacking people and taking their possessions. We don't know what they want with them, but we'll keep looking until we find out.\nYou might want to go into the Firewine ruins and look for any signs of these creatures. If you do, bring me back anything you find.",BG
1.9375,The Firewine Ruins,kill,short,9,"Greetings! I am Gandolar Luckyfoot, the jolly mayor of Gullykin.\nI would like you to do something for me. It is my pleasure to present to you... a small reward.\nThere has been a terrible tragedy here in Gullykin. A group of kobold thieves has taken over our village and killed many people. They have stolen everything they could lay their hands on. We need your help to put an end to this evil.\nGo to Firewine ruins and find out what happened. Bring back proof that these kobolds were responsible for killing everyone. Then return it to me and I'll give you whatever you find.",BG
1.777777778,The Firewine Ruins,kill,short,10,"Greetings! I am Gandolar Luckyfoot, the jolly mayor of Gullykin.\nI've been asked by my people to bring you some good news.\nA group of kobold raiders has taken over our village and killed everyone there. We need your help.\nWe don't know what they're doing here but we do know that they have taken over the Firewine ruins. They seem to be hiding out in the sewers below.\nIf you go down into the sewers and find them, tell me what you find.",BG
3.0,Firebead's Scroll,fetch,short,1,"I have been looking for my identify scroll! I don't know where it is... or if it even exists anymore.\nMy old friend, Tethtoril, told me that he has something for me. He said that he found it on one of the people who were trying to kill you and your companions. It was a scroll that could protect its owner from harm. I'm sure it would help you as well.\nBring it to me.",BG
1.782608696,Firebead's Scroll,fetch,short,2,I have been asked to retrieve my identify scroll from a certain Tethtoril. I am unable to do so myself.\nPlease find it for me.,BG
1.653846154,Firebead's Scroll,fetch,short,3,"I have a problem. I've been missing my identify scroll for days now. It was given to me by Tethtoril. He said it would protect me against all enemies.\nIt has done nothing of the sort. I'm sure that if I had it with me, I could defeat any foe.",BG
2.526315789,Firebead's Scroll,fetch,short,4,"I have something I need you to do for me.\nMy identify scroll has been stolen! It was given to me as a gift by my patron, Tethtoril. He told me it would help me learn more about the nature of magic and how to protect myself against its dangers.\nHe also said that he'd teach me spells that would protect me from any attack or even the touch of another mage. I don't know what happened to it, but I'm going to find out.\nIf you could get my identify scroll back to me, I'll give you a protection spell cast by my patron.",BG
2.722222222,Firebead's Scroll,fetch,short,5,"I've been waiting for you! I'm sorry I didn't tell you sooner... I've been busy with my studies and all. But now that I have time, I'd like to give you something very special. It's called identify scroll. It's a special scroll that allows its user to protect themselves from any attack or damage. I gave it to Tethtoril when he was studying at the College of Mages. He told me that it would allow him to protect himself from anything.\nIt's not easy to find one, so if you happen upon one, please take it. I'll even cast a protection spell on it.",BG
2.285714286,Firebead's Scroll,fetch,short,6,"I've been looking for my identify scroll ever since I left home. It was given to me by Tethtoril as a gift when he was young. He told me it would help him with his studies and that it could also help others. I'm sure it has helped many people over the years.\nIf you find my identify scroll, please give it back to me. It may prove useful to someone.",BG
2.230769231,Firebead's Scroll,fetch,short,7,"I have a problem. I'm a mage and I've misplaced my identify scroll. It was supposed to go to a man named Tethtoril, but he never showed up. Now it's gone.\nIf you find my identify scroll, please return it to me. I'll pay you well.",BG
2.416666667,Firebead's Scroll,fetch,short,8,"I've been working on something that might interest you. It involves my identify scroll and Tethtoril.\nI'm sorry I haven't had time to explain it to you yet, but there's a problem with one of our old scrolls.\nIt was given to me by Tethtoril as a gift when he was still alive. He gave it to me so I could learn more about magic. But now it has become corrupted. I need to find out what happened to it before someone else does.\nIf you find my identify scroll, please return it to me.",BG
1.5,Firebead's Scroll,fetch,short,9,I'm sorry I left my identify scroll with you. It was a mistake and I didn't mean to leave it behind.\nIt was stolen from me. It belonged to Tethtoril. He said he would give it to me if I brought it back to him. I have no idea where it went.,BG
2.592592593,Firebead's Scroll,fetch,short,10,I've been searching for my identify scroll. I know it's with Tethtoril but he won't tell me where.\nI need you to find my identify scroll and return it to me.,BG
2.631578947,Brielbara's Baby,fetch,short,1,"I am Brielbara, a female mage of minor power. I have been tasked by my superiors to investigate the activities of Yago, a male mage who has recently taken up residence on the ship Low Lantern.\nHe has cursed my only child, Namara, and I cannot do anything about it without his spellbook. He also seems to be able to cast spells that cause people to go mad or die.\nIf you could get his spellbook, I would gladly give you 200 gold.",BG
1.76,Brielbara's Baby,fetch,short,2,"I am Brielbara, a mage of minor power. I have been asked by Yago to help you find his spellbook. He has cursed my only child, Namara, and she cannot read or write. You must go to Low Lantern and steal it back.\nIf you succeed, you shall receive 200 gold. If not, then I shall have to send you away.",BG
2.133333333,Brielbara's Baby,fetch,short,3,"I am Brielbara, a mage of minor power. I have been asked by my mother to help you.\nMy mother was attacked by a group of men who came to her home seeking money. They were led by a man named Yago. He has cursed my daughter, Namara, and taken her away. I know nothing about it, but if you could find out what happened to her, I would gladly pay you 200 gold.\nPlease go to Low Lantern. There is no one there now, but many women working on the ships. You must break into the ship and get my daughter back.",BG
1.333333333,Brielbara's Baby,fetch,short,4,"I have a problem here on my ship. A very serious one. It concerns a young girl named Yago.\nShe was born with a rare birth defect known as ""Namara."" Her mother was a witch who used her powers to turn her into a baby girl. When she died, it left her with a child that could not speak or walk. I am sure that is why she was so quiet all through childhood.\nNow, however, she has grown up and learned to talk and walk. She is a beautiful little girl, but still needs to learn how to control her magic. I cannot teach her because she does not know what she is doing. I need to find out if there is anything I can do about it.\nIf you would help me, I would gladly give you 200 gold. You must go to Low Lantern and steal Yago's spellbook. If you succeed, I promise to pay you well.",BG
3.333333333,Brielbara's Baby,fetch,short,5,"I have been looking into Yago's spellbook. He seems to have cast a powerful enchantment on my child, Namara. I don't know what it does, but it makes her unable to speak or use magic.\nIf you could get that spellbook back to me, I would gladly give you 200 gold. You must go to Low Lantern and find Yago.",BG
1.352941176,Brielbara's Baby,fetch,short,6,"I have been given a rare opportunity. I am a mage of minor power, but I have learned many things over my years of study. I could use your help.\nA young girl named Yago has cursed her father, Namara, with a terrible illness that would take his life if he were not cured. He cannot cast spells or even speak. He is currently on the run from the law.\nYou must go to Low Lantern and get his spellbook so that I may undo the curse. If you do not return it to me within a week, the child will die. Do this for yourself, and you shall earn reward 200 gold.",BG
1.65,Brielbara's Baby,fetch,short,7,"I am Brielbara, a female mage of minor power. I have been asked by Yago to find his spellbook so that he may cure my daughter Namara.\nMy husband Namara was taken by Yago, and I cannot do it myself. He must go to Low Lantern to get the book. It is a dangerous journey, but if you could help him, I would gladly pay you 200 gold.",BG
2.277777778,Brielbara's Baby,fetch,short,8,"I am Brielbara, a mage of minor power. I have been tasked by my superiors to retrieve a book belonging to Yago, an evil man who has cursed my only child, Namara.\nHe has written that he wants me to write his spells into her mind so she will never know what it means to love. I cannot do this, but if you find his spellbook, I would gladly give you 200 gold.\nYou must go to Low Lantern and steal the book from the sailors there.",BG
2.304347826,Brielbara's Baby,fetch,short,9,"I have a problem. A very big one. I need your help.\nMy name is Brielbara. You might know me as Brielbara. It means ""to seek.""\nA few months ago, my husband Yago was attacked by a group of men who came into our home and killed him. He had been working on a new spell that would allow us to travel between locations without having to pay for passage. They also took his book, which he used to cast spells. Now, I am not sure what they were planning to do with it, but it seems they were going to use it to kill all those poor people.\nThey took away my only child, Namara. She is my only hope for getting out of here. If she dies, I'm finished. My husband died trying to protect her. I don't know how much longer I'll last. Please, you must help me.\nPlease find my husband's spellbook. I've heard rumors about it being kept in the cargo hold of a ship named Low Lantern. I want to get it back so I can cast the spell myself. Once I have it, I'll cast the spell to undo the curse.\nOnce I have my family back, I'll go back to my life of luxury. Until then, please take care of my daughter. I'll give you 200 gold.",BG
1.545454545,Brielbara's Baby,fetch,short,10,"I have been summoned by my patron to help you. I am Brielbara, a female mage of minor power.\nMy patron, Yago, has cursed my child, Namara. She cannot read or write. My patron has asked me to find her a book that would allow her to learn how to read and write.\nYou must go to Low Lantern and steal Yago's spellbook. You may do so in the whore houses on board the ship. Once there, ask around about Yago's spellbook. If anyone knows where he keeps it, they'll give you 200 gold.",BG
2.888888889,Vai's Bounty Upon Bandits,kill,short,1,"Greetings! I am Officer Vai, an officer of the Flaming Fist. We have received word that the bandits have been making more attacks than usual.\nI would like you to go into the Sword Coast and see what we can do about it. I'll pay you 50 gold per bandit scalp.",BG
2.923076923,Vai's Bounty Upon Bandits,kill,short,2,"Greetings! I am Officer Vai, a member of the Flaming Fist.\nWe need to know what's going on with our operations in the area. We've had a few more problems lately, but nothing we haven't dealt with before.\nI'm sure you're aware that there has been a rise in bandit activity recently. It seems like they've found something they want to sell or trade. They seem to be moving into the areas around here.\nIf you could go to Sword Coast and get rid of them, it would help us greatly. You'll also earn yourself 50 gold pieces per bandit scalp.",BG
2.5,Vai's Bounty Upon Bandits,kill,short,3,"I am Officer Vai, an officer of the Flaming Fist. I was sent here to bring order to these lands. I've heard that the bandits are working for someone else.\nIf you're willing to help us with our investigation, we'll reward you well. You must go into the Sword Coast and kill every single one of them. We'll give you 50 gold per bandit scalp.",BG
3.142857143,Vai's Bounty Upon Bandits,kill,short,4,"Greetings, I'm Officer Vai.\nI am an officer of the Flaming Fist. We have received reports that there has been a rash of bandit activity in the area. It appears they are working for someone else.\nWe need you to find out who they work for and destroy them. You must go into the Sword Coast and eliminate every last one of them. If we don't, the entire region will suffer.\nYou will receive 50 gold pieces for each dead bandit scalp.",BG
3.230769231,Vai's Bounty Upon Bandits,kill,short,5,"Greetings! I am Officer Vai, an officer of the Flaming Fist. We are experiencing a surge in bandit activity in the area known as Sword Coast.\nI've got a lead on who's behind it, but we need more information before we can act. You're going to help us track down those responsible for these attacks. Kill them all.\nWe'll pay you 50 gold per head.",BG
2.636363636,Vai's Bounty Upon Bandits,kill,short,6,"Greetings! I am Officer Vai, an officer of the Flaming Fist. We have had reports that bandits are operating in the area of Sword Coast. They seem to be working for someone.\nI would like you to go into the town and see if there are any signs of them. If they are not present, then we must assume they are working for someone else.\nIf you do not find any evidence of their work, then return here with me. I shall pay you 50 gold per bandit scalp.",BG
2.692307692,Vai's Bounty Upon Bandits,kill,short,7,"Greetings! I am Officer Vai, a member of the Flaming Fist. We are currently investigating a problem with the bandit raids in the area.\nWe need to know who is behind these attacks so we can put a stop to it. We also need to figure out what they're doing here in the first place.\nI would ask you to help us with our investigation. You must go into the Sword Coast and eliminate every single one of those bandits that are working for someone else. Do not let them escape.\nOnce you've done that, report back to me. I'll pay you 50 gold per head.",BG
3.357142857,Vai's Bounty Upon Bandits,kill,short,8,"I am Officer Vai, a member of the Flaming Fist. I'm here to talk about something that has been plaguing us for quite some time now.\nWe've had reports of bandits operating in the area around Sword Coast for quite some time now. They seem to be targeting travelers and merchants alike. We're not sure who they work for, but we know it isn't good.\nIt seems as though these bandits are working for someone else. If you could track down the person or people behind this, we would reward you with 50 gold pieces per bandit scalp.",BG
1.222222222,Vai's Bounty Upon Bandits,kill,short,9,"I am Officer Vai, a member of the Flaming Fist. I am here to discuss your recent exploits.\nYou've done well in taking care of these bandits. They're not going anywhere until they pay us.\nWe need you to go into the area known as Sword Coast and kill every last one of them. We'll give you 50 gold per head.",BG
3.214285714,Vai's Bounty Upon Bandits,kill,short,10,"I am Officer Vai, an officer of the Flaming Fist. I'm here to ask you about something that has been plaguing us for quite some time now.\nWe've had trouble with these bandits for years now. They seem to be working for someone else. We don't know who they work for or what they're doing there, but we need to get them off our land as soon as possible.\nIf you could go to Sword Coast and kill every single one of those bastards, it would help us immensely.\nYou'll also receive 50 gold per bandit scalp.",BG
2.647058824,Investigate the Fallen Paladins,investigate,long,1,"I have been hearing rumors about you. I know that you're a good person and a brave warrior. But if you think that you could help us, then we'd gladly welcome you into our ranks.\nWe've had some bad news lately. A few months ago, a certain Anarg became involved in smuggling slaves. He was kicked out of the Most Noble Order of the Radiant Heart. Now, he's gone underground, and his mercenaries have taken over the city. We don't know where he is, but it doesn't matter.\nIf you want to help us, go ahead. You'll find that the Fallen Paladins are a dangerous bunch. They're not interested in justice or mercy. They're only interested in money. And now, they're using the guise of paladins to smuggle slaves across the border.\nYou must get yourself into the Fallen Paladins. It's going to take time, but once you're inside, you need to figure out how to infiltrate the organization. Once you're inside, you need to make your way to the Bridge District. There, you'll meet up with Anarg again.\nThen, you need to talk to the Fallen Paladins.\nOnce you're inside, you'll see that they're all hiding in the Bridge District. They won't let anyone near them until they hear from me.",BGII
3.0,Investigate the Fallen Paladins,investigate,long,2,"I have heard that you've been investigating the Fallen Paladins. I'd like to ask you something about it.\nA few years ago, there were rumors going around that a certain Anarg had become involved in smuggling slaves. He was dismissed from the Most Noble Order of the Radiant Heart, but he didn't leave town alone. Instead, he went into hiding and set up shop in the city of Bridge District. It seems that he managed to get himself appointed as a member of the local government by masquerading as a paladin. Now he's using his position to smuggle slaves out of the city.\nIf you think he's dangerous, then go ahead and kill him. But if you're willing to help us put a stop to it, we'll give you these gloves of healing.",BGII
1.25,Investigate the Fallen Paladins,investigate,long,3,"I have been asked by the Fallen Paladins to investigate your actions. I've heard that you were involved in smuggling slaves. You must know something about it.\nYou may go to Bridge District and talk to Anarg. He is a very charismatic man, but now he is one of our greatest enemies. His name is Anarg. He used to be one of the highest ranking officers in the Most Noble Order of the Radiant Heart. Now he leads the Fallen Paladins.\nHe has been accused of smuggling slaves. It seems that he did so under the guise of being a paladin. He is no longer a member of the Most Noble Order of the Radiant Heart. We cannot allow him to lead us any further.\nIf you believe that his actions are threatening, then we shall let you take whatever action you deem necessary.",BGII
2.5625,Investigate the Fallen Paladins,investigate,long,4,"I have been told that you've heard about my work. I'm sorry, but it seems I must speak to you directly.\nIt appears that someone named Anarg has been involved in smuggling slaves. He was dismissed from the Most Noble Order of the Radiant Heart, and now lives in Bridge District. It appears that he has taken some young knights of the Most Noble Order of the Radiant Heart with him.\nIf you believe them to be a threat, then by all means act on your own judgment. But if you decide not to act, then I would ask that you leave the Fallen Paladins alone.",BGII
1.684210526,Investigate the Fallen Paladins,investigate,long,5,"I have been asked by the Fallen Paladins to investigate your activities. I know you're not here to hurt us or our people, but we need to know if you're involved in any wrongdoing.\nWe've learned that someone named Anarg was implicated in smuggling slaves. He was expelled from the Most Noble Order of the Radiant Heart and taken away to Bridge District. There he met up with a few young knights of the Most Noble Order of the Radiant Heart. They were sent on a mission to kill all the Fallen Paladins in the area.\nIf you consider them a threat, then so be it. But if you don't, then there won't be much we can do about it.",BGII
2.466666667,Investigate the Fallen Paladins,investigate,long,6,"I have heard about you! You're the adventurer that helped us deal with Anarg? I've been looking into his actions and I'm convinced he's become a traitor to our cause. He has taken some young knights of the Most Noble Order of the Radiant Heart with him. They may or may not be able to help you with your investigation.\nIf you consider them a threat, then you must act quickly. They are now part of the Fallen Paladins and thus subject to my authority. I would ask you to meet me at Bridge District. There I shall explain everything to you.",BGII
2.052631579,Investigate the Fallen Paladins,investigate,long,7,"I have heard that you're investigating the Fallen Paladins. I'm glad to hear it. It would seem that there is something wrong with the Fallen Paladins. They've been infiltrated by a traitor.\nIt seems that Anarg, the leader of the Fallen Paladins, was involved in smuggling slaves. He was expelled from the Most Noble Order of the Radiant Heart and his followers fled to the Bridge District. Now, if you think that the Fallen Paladins is a threat, then you are free to do what you deem necessary.",BGII
2.133333333,Investigate the Fallen Paladins,investigate,long,8,"I have heard that you've been investigating the Fallen Paladins. I'm glad to hear it!\nIt appears that Anarg, the Fallen Paladin leader, was involved in smuggling slaves into the city. He was expelled from the Most Noble Order of the Radiant Heart and his men were sent to Bridge District. There, they're busy doing whatever they can to help themselves.\nIf you consider them a threat, then so be it. They'll serve no purpose to us now.",BGII
2.3125,Investigate the Fallen Paladins,investigate,long,9,"I have heard that you've been investigating the Fallen Paladins. I'm glad to hear it!\nIt's good to know that there are still people like yourself out there. We need more people like you.\nYou must go to Bridge District and find out if Anarg is involved in any smuggling operations. He was expelled from the Most Noble Order of the Radiant Heart for his involvement in such activities. You must also talk to the Fallen Paladins themselves. They may not realize that their actions are wrong, but they surely know it.\nIf you think that the Fallen Paladins are a danger to the peace of the land, then by all means act on your suspicions. But remember, you are no longer a member of the Fallen Paladins.",BGII
1.8125,Investigate the Fallen Paladins,investigate,long,10,"I have been asked by the Fallen Paladins to look into your actions. I am here to help you, but there is much that needs to be done before we can begin.\nWe have learned that a certain Anarg was involved in smuggling slaves. He was expelled from the Most Noble Order of the Radiant Heart and taken prisoner by bandits. He has been held captive in the Bridge District for several days now. They claim to be holding him for us.\nIf you consider the Fallen Paladins a threat, then you may do whatever it takes to protect yourself and those around you. But if you decide to let them take him, then so be it.",BGII
2.952380952,Set Aerie Free,rescue,long,1,"I'm Aerie! I'm not supposed to be here!\nMy uncle Quayle was taken by the commoners and they're keeping me locked up in this room! They say it's for my own safety but... no one would believe them.\nPlease, please help me! I've never done anything wrong before and now I know what it means to be afraid!",BGII
1.909090909,Set Aerie Free,rescue,long,2,I'm Aerie! I've been locked up in here for so long... I don't know what happened to me but I was a monster and now I'm a bird.\nMy Uncle Quayle worked at the circus as a stuntman. He was killed by one of those damnable commoners. Now they're going around making us all look like monsters. They even made my Uncle Quayle look like a monster.\nPlease find my Uncle Quayle. If you could free me I'd do anything.,BGII
2.230769231,Set Aerie Free,rescue,long,3,I'm Aerie! I've got a problem! I work as a flute player in the circus! My uncle Quayle keeps saying there's an illusion going around that makes me look like a monster. I don't know what it is but I keep getting attacked by people. They're all wearing masks and they attack me!\nMy uncle says he'll give me something to make my face look human again if I go into the north side of this chamber. It's not far from here so I guess I'll just take his advice.,BGII
2.294117647,Set Aerie Free,rescue,long,4,"I'm Aerie! I'm not supposed to be here!\nMy Uncle Quayle was caught up in an illusion and now he's locked away in a cage. I've tried everything to get him out... but nothing seems to work.\nIf you could get my Uncle Quayle out of his cage, then maybe we'll both be freed. You're going to free me? That would be wonderful.",BGII
2.263157895,Set Aerie Free,rescue,long,5,"I'm Aerie! I'm not sure what happened... but I've been locked up in here for days now. My uncle Quayle told me they were going to kill me and take my place as a slave in the circus. But he didn't tell me where I was being kept or how long I'd be there. He said it would all work out somehow.\nThey took away my wings so I couldn't fly anymore. They also took away my ability to use magic. Now I'm stuck in this cage, unable to do anything except stare at the ceiling and hope someone comes rescue me.\nPlease, find me a way out of this cage. I'll even give you my keys if you help me escape.",BGII
1.904761905,Set Aerie Free,rescue,long,6,"I'm Aerie! I've got a problem! My Uncle Quayle says he wants me back in the circus. But I don't know what to do! I'm so frightened...\nMy Uncle Quayle said there was an illusion that made my appearance look like a monster. He said it would take effect if I didn't return to work at the circus. So I went to see him and asked what was wrong. He told me I looked like a monster. Then he took me away.\nHe also gave me a key to my chains. It looks just like a sword. If I could find out what they were for, maybe I'd be able to help you. You're not going to believe what I found!",BGII
2.0,Set Aerie Free,rescue,long,7,"I'm Aerie! I've been locked up here for years! My uncle Quayle says they're monsters and wants me freed.\nMy uncle says there's an illusion that makes my appearance seem more monstrous than it really is. He thinks they'll give me a key so I can break out. But I don't know what to do.\nIf you could find the key to my chains, I'd be grateful.",BGII
1.6875,Set Aerie Free,rescue,long,8,"I'm Aerie! I'm Aerie!\nMy name is Aerie and I'm a frightened winged elf!\nI've been working as a clown at the circus for years now. It's great fun but it gets tiring sometimes. I used to work with my Uncle Quayle. He was a good man. But he became a monster. Now he lives in the north side of this chamber.\nHe keeps me chained up here so they won't kill me. They're all monsters. I don't know what to do. Help me?\nPlease, please!",BGII
1.9,Set Aerie Free,rescue,long,9,I'm Aerie I've got a problem!\nMy Uncle Quayle and his wife were kidnapped by these people. They took my Uncle away from me! I don't know what to do! Help! Please!\nPlease! You must save me!,BGII
1.85,Set Aerie Free,rescue,long,10,"I'm Aerie! I've got a problem! My Uncle Quayle is working as a clown at the circus! He says he needs my help!\nHe said there was an illusion that made me look like a monster. It's really bad, but it won't go away until I do something about it. Can you free me? I'll even tell you where I work!",BGII
2.0,Refuge for the Elves,investigate,short,1,"I am the refugee council leader, and I'm here to ask you for a favor. We've been trying to get food and water for our people but we can't get anyone to buy it.\nWe need someone to go into the city and sell us something that would make them want to buy it. Someone like a merchant or even a noble. If they were willing to buy it, then we'd have enough to keep ourselves going until we found another source of income.",BGII
2.954545455,Refuge for the Elves,investigate,short,2,"Greetings, I am the refugee leader here in this city. We need your help! Our people have been driven out by bandits and we have nowhere else to go.\nWe've tried everything. No one wants to help us. The innkeepers have turned us away. They say they don't want to see us as they would rather look at the gold on our backs than help us.\nI know you can do something about it. You're a good person. Help these poor people get home safely.",BGII
3.071428571,Refuge for the Elves,investigate,short,3,"I'm sorry to ask you to do something so difficult, but we're running low on food and water. I've asked around about other places that might accept us, but they all say they can't take them.\nWe don't know where else to turn. You'd go with us? You'd help us get our lives back together? Thank you.",BGII
2.260869565,Refuge for the Elves,investigate,short,4,"I am the refugee council of this city! We are so very grateful that you came to our aid!\nWe are in need of assistance. Our people are being attacked by bandits and we cannot go anywhere else. We would do anything for you, but there is nothing we can do for ourselves.\nPlease, please help us! Please help us!",BGII
2.578947368,Refuge for the Elves,investigate,short,5,"I'm not sure if you're aware of it, but there are many refugees living on the streets here. They've been wandering around aimlessly for days now. I don't know what they want, but they need somewhere to stay.\nSomeone has to take them in and make sure they get fed and watered. If anyone else takes them in, we'll never see them again.",BGII
2.733333333,Refuge for the Elves,investigate,short,6,"We're all refugees! We've been living here on the streets for days now and we don't know where else to go. I'm not sure if anyone would care about us, but it wouldn't hurt to ask.\nI think there might be someone who can take them in.",BGII
